topic,query,chunk_id
-1,what is rba,ca869ae1ed3f5021cb5b2a0b78cc846c
-1,was ronald reagan a democrat,ebd6ebdb7fbbb0ae0e3248151cb73a2c
-1,how long do you need for sydney and surrounding areas,312128ddec1425cb40e059ba2f521eff
0,price to install tile in shower,88ff1f6cde4ca8af5b3046d56d029a9b
2,why conversion observed in body,b639dba25e9a060b549d8430ea807aea
2,where are the lungs located in the back,3fd0aabc0e8f2f53be360044b89f3887
0,cost to get a patent,e4d9b1ab17aff7ce0949fa13b9516e2c
-1,best tragedies of ancient greece,b0ddd6c64362083fadb1119253deb5f1
15,what is a conifer,43da87d27d9adc823d9e9654ef0a4a4a
10,in animals somatic cells are produced by and gametic cells are produced by,4ff0ed20afce65c76bdb0df809ef5025
10,in animals somatic cells are produced by and gametic cells are produced by,0f556defd6442767c1fee0e729f942fb
18,remembering the name of the author who wrote the cat in the hat,e52d528e561f1a0da3843c4cfdb52e61
11,how long cooking chicken legs in the big easy,0eee30da5345ccc9fd7828cc7c395e0e
0,average cost of heating per square foot,fb8784842de7d884e316ff5183326240
9,is mount pinatubo made of granite or basalt,c04daa72d1ab49ccc5e8f4823ed30af1
0,concrete pads cost,25ee6d24c8b85d058240da883888cadf
12,what kind of organism is a black damsel,08501eddc79ee4ef6d8e70aaf5cf40f3
-1,who coined the phrase it is what it is,1e52ab59cb3805dbb9443f10c31633ee
9,what is oilskin fabric,8aad32c93e8e50f0a1b7475edd592c2e
1,how long is german measles contagious,175e46458e8c42b91eff28bd8c223535
-1,what is a camerata,286d29b9aeb378b60ba5f35750e72e02
11,how long does it take to bake a pound cake,8609d2b188b6161a040282af0f529b2a
11,how long does it take to bake a pound cake,1afc2f93694f49135dae8b94157182fe
1,what is the maximum dose of subutex,becb007a887bbe0532d1e2a48dc5b66c
0,salary difference in same team,9609b93e8cc1a8d6c369f2a52fc139b5
15,what was tet,b3df45ea079e846b846f553d957f99d9
-1,what energy is used in photosynthesis,86a54605004ebc6d0516afc4bbe08cc1
2,"The smallest blood vessels in your body,where gas exchange occurs are called",72ddd4f227a453ee48e9f6dee12e608d
-1,what is rappelling,5c4ded18120d0324d5c698b697320a9e
6,what does a brewery representative do,821b47aa3409842ce5c7920918489ce3
-1,how long will i be in hospital after a gallbladder surgery last,f9dfd5f65309e0e760fc72b81f237544
1,at what age does medicare begin,45ce846881693e53b16f7768445954ed
0,Adoption fees for rabbits,d4427da7fed9b40a865014380fa8cd35
-1,what is a diabetic kidney,f78cdaa48a0e7a6a302bd07dd01bf43a
17,why is james madison father of constitution,dd92871032399aed1505d99a3385ae19
-1,what temp does meat need to be cooked to,8cf163eec6242ec31b3c689a07709445
6,what is a mobile analog phone,d5c7a5fc26e80ce32c39587bf2e516d4
-1,traits that are derived from a common ancestor are said to be,5dce884e7da2fdd8c66667b8a135498c
0,residential solar cost,72b04354b80bca3433528ab5e9882211
0,irs late penalty fees,6c920547285f3e51873bbc7f25833d0d
-1,what is the discriminant of an equation,fe9e7d521a41651c5fe8c90a21390824
5,gayla name meaning,d918f96082e24ab785a85c872a21eda5
-1,what animal is a possum,027f5b7c3a1ac7f680e521c70c54a895
-1,what animal is a possum,61b5a404724da9defa5a5c91d2626e5a
-1,types of bacterial respiration,9d66649f393b2c290bd0968fcad04ade
-1,what are monocytes,0f612312a840f9dc47348558d9553a2b
0,interior decorator cost per hour,8ffc850cd88f8cf0eb95e0f46234a1da
0,interior decorator cost per hour,ab07c30ef516a1138eed4c71b0ab6f98
0,certified child life specialist average salary locally,43404303ae16da6d15cf127503fd43c6
-1,What Kills Scorpions Naturally,37f06939bae2d740690076b81f57563f
5,what is the meaning of powhiri,623a2fe69c0be3442a172b8a731d652e
-1,Burly Man Definition,38133de3f69d426b1c9bf1940863196c
6,do game shows pay their contestants,13bd4f7ecba9f7f4dd7d32e668b95a7a
3,diseases caused by clostridium,a0b974c8a1cc1dc3d32440b25290583a
0,what is the salary of a person with a biology degree,7f189d7e32c5f4534c3c71b8cbd872e3
0,what is the salary of a person with a biology degree,f0762ad5462776165e742c8e6fa32d62
0,what is the salary of a person with a biology degree,d92f6f5928ca75193ffc8adb9a965a30
4,how tall is jack griffo,e07691ee42c25a45cba89fb03ef9a8fe
-1,what is meant by pneumatics,7b13fdfc16c00957359b763ac3a1f0e0
-1,what is a laryngocele,8edda02fd506aa2dab294ddf5815ea4e
1,what age can a child go swimming alone,56cf6dede952d3dfc79f4849a9470b78
-1,what kind of coffee pods does delonghi use?,31755b245e1efb2143cfef859aa4bad1
-1,why choose range or interquartile range,c320bd3559023b9bc7ba48f269889edb
3,what are liver spots caused by,f6d77b3b219820bde24d6997bab14ebc
3,what are liver spots caused by,bc1f7b447adde50e39205342501b7649
3,what are liver spots caused by,c221d3df40bbc52d488390445f9fcbd3
18,History of Microchip Timeline,10cca5014e88e476320316f56dd9089e
1,medicare conditions of participation emtala,c80a60a36b7588ea36f31336296f868b
7,does peanut butter contain cholesterol,14515e5c6a8ef95863d1e8ed6693c794
-1,can you take left hand lane to turn right on a dual carriageway roundabout,8d713e0cb73368909e23572040b63c68
1,what does the oad survey expert level color mean,63515faf6a3e1c69564583d876f243ec
2,example of involuntary muscle tissue is,c15ee4c01c4d187ea1260a07a6f78e1d
-1,what is slime,a2e2f5bdfae61dcf6a1a5a2aed1a21e1
-1,how to make a poached egg without an egg poacher,c93d8210fb49597312d492cce1a45a11
-1,how to make a poached egg without an egg poacher,828a65c57b0d45ae35944c2fa7337c51
14,what is a harrier,a487494baa560524950f55a09b76bad6
19,how long should a drive thru take,d5f4f5a0c3a286595a490a21b7b7e98c
-1,what is plasmalyte,86c025c37f5eec0494c8b06985522d1f
6,what is a goods receipt,84535cfa37bad823afdffe98a3834400
2,cortical functions of the brain,32404647e9cff82fe5e640a1617377d6
-1,what is conduction,d649f2089bcb19892c4217bbf1620059
5,what is a tilde accent,90b4d8ef74885fe1eaa3c9826b1abaf2
13,is armed assault a felony,b0a5a1a60278429d6368f8d62372b704
3,carpal tunnel symptoms,9977b53b292c225189237ae5c56204d1
5,meaning of name tasneem,329aa1b81723dd2e98de4802096f20bb
-1,why is the kilauea volcano a shield volcano,1205bbbd7b48fcdd97dd5a53a6bb16da
-1,how to make a gold color with paint,cab09de66694a0d0ff94b3b6266c7753
-1,what is carp fish,058c01c0e027e3061acd37ddde128424
-1,how long can you leave a cooked meal in the fridge,d5e803806bc1323c78a8bb6beba4f8bd
8,average sea temperature alcudia,7d76abb6536dadee62406e15fff515bc
8,average sea temperature alcudia,aaf8778fd7cbf8f3dad0c5eb7756dbfc
12,characteristics sporophyte plants examples,4308b899f4195aba3c565ba8dc5b5554
3,what type of hepatitis causes cirrhosis,3f03eac8c0bfe4cafa88d13d83219dd6
5,is silverbeet the same as chard,423ac6e13d475df9807a9fea4bc90824
-1,cal water phone number torrance CA,cc93f706b3de5c250be9fe76f75938c6
9,what are humans made of chemically,cc9b8c991782d31c9e26d42630441e2f
-1,what is sugar soap,e77ea90ab17d50da8567d24012a295bf
15,conchae definition,30077b4b0207e71a0a13ee31871e3e50
15,conchae definition,cebd8b74f746ef610ce50557b5d43bb3
8,temperature of neptune in fahrenheit,45888807f1d9b9e84990546d8998a02e
13,what amendment limits the terms a president may serve,f72201c3a74e34af84c210e2e6646eec
9,what is palladium metal,1c904b1ccfcb53940a8fbd5f7e18275c
3,what is the cause of conjunctivitis,6dd2c729f0517f4937555d4432ce2cdd
3,what is the cause of conjunctivitis,212498965c53823a7c393755dd14cfbf
0,yearly cost for lumosity,859ce3de1fb76523ae115f9db09cc27b
-1,watchdog.sys what is,6b82ae813269708fd80f52c45bc15594
-1,what is a bak file,914c0c7cee62d2cebed4797bcabe66d4
0,How much will it cost to go to college to become a detective,0cab1d7b21aba2ffb9e8b75db95ea996
13,trust amendment term,119c9a8aeaccca295a22d3d33d23c3ab
13,trust amendment term,dc5c673913b60466d5bf3d57073f97e9
-1,what is kuchen,353874ea1436b36c04a06f49af3a6dfe
1,aleve maximum dose,b3ba5e985ca74f82cc394c70c174d803
5,caito name meaning,f4cd725d742976e460bc82e6f5ef10d4
9,i-type granite definition,f730acd92704cb250b60b0aafe1e6815
0,net worth of average american household,de4c2920419b1b3debf495f553a57701
14,what is haemolytic anaemia,41c5bae6b3c4ec5aa5108c9763413d64
-1,what is a pressure receptor,f85444f4df46ea9480a443d6f37f89c6
3,what to write in a card about illness,7987f64ccb66adb8343f48405b40a43e
1,how long does it take for a letter to arrive in a different state,d52a6d350f95be8215220135a7829b24
17,what was true of the desegregation of the armed forces under president truman,793611791e32a92f2b6fda730095ef02
0,cost of a masters degree in education,09d4736e0ff53695961707cb901ae5e8
1,how can i tell what glasses look good on me,634472a1c6be3d0e358ff062a5b93450
-1,describe parkinson disease movement,3b316145d20c5c3580915d5e8aec074a
0,how much will closing cost be for the buyer,4adb42eb8a077855f8cdc3fb59ae0e54
0,rear struts replacement cost,83e6cdeab9c44e961a518d3a85f7433b
-1,are springtails harmful,1abe27a0ae94117714431434e9feb2cb
2,what part of the brain is dopamine produced,0d1ab1d6000ff35cd51e60e64b30eb36
-1,what is a cheeky nandos,2d1e59336302e1c2f0991a5ff20b13c8
-1,how big is a regular shot glass of liquor,40c21bb4f0c78590f116d9aeb1399a85
-1,what are zodiac boats made of,561e92df19b0f813b502b6a11cbd33b3
-1,how long does a chipped collarbone take to heal,b1003c93ecc243e6409d57680b86c73a
5,where does the surname pickering originate,4455c59e71d949104264fa761286a8bb
0,solar cost in arizona,d9ded29567d7d6c5ebb39f3720c16cbc
-1,usaa routing number,201f79164e17c3b90fda28ec807923e6
7,what are the foods rich in vitamin b complex,4c8471c6ad66c4329ec6e0162aaa5901
1,safe dose range help,31645d7d0125ecc164a8c9d48c5d0e10
3,what causes zoster shingles,19f2b9816cdd485306d59d487a3f5806
-1,what time of day do i install package bees,c929a845f0c682d8c2d87f566bb8e8f2
6,what is an investment banker,d12333e13f32613037ef3f994ca40565
-1,how fast do weigela grow,168aa99ee69c1a11b594cbdf361bb808
4,minimum height of a motorway bridge,382e36a5cb4916bc895e4a7638b9b3d5
7,are angora goats good for meat,18023b77df0394e2ddf5c799f949cdb4
7,are angora goats good for meat,6fa7bbbe3cc8ebee20d336aa9794a048
1,does visa signature have roadside assistance,353262f97e7ed5fd1f05dac7afb9b378
7,why can't you eat pineapple when pregnant,ceee69a26091fd7ba54d9d4795e32c65
-1,what was the reason that the tea act passed,1bb6443cd5964d71c30ebaef6fab1434
4,can we skip amicalola falls to get to springer mountain,3e7096f3f0628c2fcd71cb804be192a3
16,Is Tramadol A Narcotic or Opiate,ea113d045a95ca8b22c5d490ac5b65ce
16,Is Tramadol A Narcotic or Opiate,020c55d3bca349c40d0b7c269c734d71
-1,convert cups to pounds confectioners sugar,ee0b05de6fbad878e3669a8ff2e60d87
1,what is an ESR level on a blood test?,e49c7e7f3941c31fd18e9d264fcb1246
6,can i update the iphone software then back it up from my previous phone,f79059bc1b632a0e23605b8c51d55d79
-1,who is putin,546bdab9a0da550852163a00afaae025
12,What are the frustules of diatom phytoplankton composed of?,1888b13c01ff49922d6ab037f2ec6fad
1,how long is a prescription valid for,6e044463fd9344798eb9a42731beecad
1,how often should puppies get shots,3bb488f89f0723bc128ba37d4a32810e
0,how much is a current postage stamp,1fc1e9d58cbe2bcc114721f8a1ff4d48
2,how to remove header from second page of document,2da1bcd2c8248150c5f74965ada7df33
7,chemical composition of cereals,e8664d852c3d781767dbe8bdf9297e7b
-1,what conditions do cocoa beans grow in,04ac8afa985cd03f56f249e15e65fd9b
1,how long is typhoid vaccine good for,d7dcbc865385297dabbf96274a933eb8
1,how long is typhoid vaccine good for,0fde3f47ad47510c130ee6b8fa8da85a
-1,what color is phlegm,bd77ffd1b17c953b1902d933a8f17ebb
6,is the new tesla hybrid,19a2015346e067f2633ca4fc0b94e4e8
0,how much does it cost to be in a sorority at fsu,6c4bad7437ced90ed92cd2cedaba18e8
10,what is vesicle,c308ed126698d0c173ae1451821808e1
10,what is vesicle,5f80831ab3c7803882458bb8dfbac626
-1,how fast can a person run,b638cc46dae94840f2bb5e32d02637a7
-1,does delirium cause hallucinations,9e94068a9ab9079133f5aadbb11ed5d6
0,how much does it cost to change names on ryanair tickets,a06d44c51b0fad084699ae689af57df9
0,how much does it cost to change names on ryanair tickets,962203f5b179bca977ed58a51e3c89ea
4,height of the highest ocean mountain,9abff82f198dc6d324896fe314c4aaf4
2,what are the four structures of the forebrain,6c8e5c6cd6a2ac4148107883b95a059a
4,where can you find canyons,5ffd96fdb897cee0c83c3d25f5cd6d94
0,salary hike in infosys,d589fa9baf0723b0d533b258090ca8e2
0,salary hike in infosys,44894efec14a4490f100f97d67bc09d0
1,normal age for a girl to start her period,dacac662efde9dec2067bce0bcee8d40
-1,does claritin help itchy eyes,7753e5f78fd064fe6ebfea80518b421a
2,what is filial bonding,44d034c27946b6dc09e08f3fb4cb187b
16,what is rimadyl,672af71abfe0e430bb83379f84ee6a75
-1,what are pyroclastic flows,c0e597bc84c3b753f619c3060c5d9d9b
14,the actor that played hagrid,635ad4ec8583ab518690f887fac1b8d9
14,the actor that played hagrid,913011d94b1e26d22f575c0383bde474
2,thoracic cavity definition,6119e540da8fbb86edf9add17386131b
19,how much time can you go between oil changes,c944888dc7bb30a1a01cf5c19776a19b
2,what is anencephaly,5bdd1bc4a45813c5b8370f80105ccb92
2,what is anencephaly,bf80676206106fcb809e6f8e6d6431d5
16,what is zfs,3ba1ec32703d1cb9c07c3ef0db7c1e17
1,how old do i have to be to be a bartender in texas,acb596c6c6ea64c303ade011f474afca
12,what species is a dandelion,9dc539403752581ac234e01d2eb77877
-1,how much carbohydrates starches should a child eat per day,79e86f022ce00153aa1ef23441919bdc
1,age limit to claim child as dependent on taxes,018bb09c47991717eb6df415252eaacc
14,who was actor larry parks,3794292da0a8ad36a33151e32b0a9542
0,average cost of replacing tie rods,4ca9d05c35de9bd618c1cf00c32e249c
-1,how to access xfinity dvr,a4108623b063da2fc1f4e4075e43f785
3,bordetella pertussis cell morphology,96353b1a755c04c4f0cefed1e324714b
8,what temperature do you cook beef ribs,ff6d1fc63d186edc2eaad1cf5cca0150
0,how much does it cost to upgrade your electrical panel,fb567b3458f86f5d3afddf9b8938a43f
-1,how long should a tattoo take to heal,b3ca62220b94f4e9360ee5b1899e3bb0
0,how can i get a job as a food tester,9f7b7f6099039fc92f4a3e34cc790ade
7,kinds of oils used for food,f2daa5c305e203a979d503a3ba7c2809
-1,what is eclectic paradigm theory,48559007bec9ff8a562cd8514e5859f4
8,what temp does frost hit,e5900d646ea05395746d05115bd11b4f
4,where is milford sound located,319ab5c3c031cac4d7f5cf074c44518a
0,abbreviation for semester,e015b08939599074767654a531821323
2,what structures receive arterial blood from the brachiocephalic artery,336ec28f687c63a63a2e6082cb5dc2cf
3,spots on lungs that are not cancer,9969fd392667ad0fbf8aa02f0828ff4e
-1,what is the time span of the roman empire,e6c65230a95afdf0482bf9f2983ebd77
-1,what is lactate in a blood test,1ac1c3838ff8e4257e5a387cd8d897c9
-1,in which Sc ecosystem is a horseshoe crab found,1dbbd85bceb39c9e7baf395dc7ffafa7
2,the cervical spine is composed of,c2a499c91b832006032640922d7ba2b2
4,kambos malaga contact,1cfb1e7149ec0010bc22dbb85284d17e
2,what is the function of the ciliated mucous membrane in the nose,5cf1aa02150143389b0018af721d82e5
8,how many calories burned during aquafit,16ca1314855ca45dc99a314543a12d51
-1,thyroid autoimmune disease sugar,c03007630a1edba6baca7eb6b4f4307b
0,how much does the masters champion win,66130bcae7f1bd2189c6d85edbc78934
-1,is mauna loa active or dormant,6f03c01eb2ee939342bd16eee15dc40c
-1,is mauna loa active or dormant,085cde75755527a111022f4060b1015c
-1,is mauna loa active or dormant,34062576c26df55457f689b97cc89bd0
3,what is a squa carcinoma,b9a9e3838b0299293a61753ffb020694
4,what counts as northern europe,a606e1748b606c85910a7dbdf71f275d
3,what is a hepatic hemangioma,2853c1061b0c6c962d934e5d85424857
0,cost of insulating a home,c777c44b42bb0a45232d19877e94a2fe
4,is mount everest in china,06636c1d34ec633d4a7d462b04c27f2b
8,weather morocco may,ca27f35fd04c6c0e9045f8dc75cd843e
-1,what album is soulshine on,ea045335ca63ab1796b20442239f42fe
16,what is xanax pills used for,70fde2d62ae518739d38ebd87d527baf
0,how much does it cost american taxpayers to house american arrested for marijuana,2fa338e78ad72679e891cc430ac1b09c
-1,what is aldehydes and ketones,b2f21d6e82ebc856215b68530bafae11
-1,why is uranus tilted,f0bdc7ef71ae90c95b376f48a8fb73b0
9,"between what years did the bronze age,stone age and iron age era occur",54e89be20b8ffd4fb76980bd4e93fdba
9,"between what years did the bronze age,stone age and iron age era occur",9638ddd5e316843279ee120d96388bb1
9,"between what years did the bronze age,stone age and iron age era occur",15a75a055296d9217a784a2d0ba7fc66
-1,what influenced the impressionist movement,0dd369345d8c4f1704e2ee0971d52ccb
-1,do hopi ear candles work,7a27735b9458a4ec7a99117df4a605aa
14,cast of ringer,d460884a8ba0f0e43ddc6125279b651f
14,cast of ringer,5d6290b34954ee0a3ef83aafc7227424
-1,what is greywater,f073e9843a75f5abd0a23c61d01889a3
0,qdoba salary,0392ba100ae364fe4cf938f8fe7039a4
0,qdoba salary,fa88ddc12223045b84537ff68667b1a2
1,normal level of tsh in children,0fec6338706264c02549f2e26daa40ba
5,name meaning of zadkiel,7b17d47238c5411a2d9313b4e4c0c097
-1,at what russian city on the volga did the germans suffer a major defeat,872dcc2a9d1004c91ad6fb63bdeb21e8
17,who was the president who caused the trail of tears,e3da2307377c26d88e80f39c8d5ddde6
16,what is a duc in france,bc4f945cda71c2bd7bae16a52f0385b7
10,what molecules are made in the heterochromatin,7c68e6aa5eb70a5bd4368ac964625424
-1,how long does a average person keep a car in us,d1af55aba5c975ff485b53004bb7ebf7
-1,is facility explorer tridium,021dcfd3e765e3cfc327bc31a7bd69d2
-1,ideal temperature to store eggs till incubation,ad7d587eaa9506a37a73490347dc8d51
-1,what does the huntingtin gene do,07182b3926bd4443acbe85771afa04a1
-1,what are transform boundaries,4e322cce82662c2caaa77e364c099ab1
-1,what are transform boundaries,b50528c02f9322aebcf02cf621b41cec
-1,what does acetylcholine do to your body,bdd3ff6319e9a1b25b21a5f5d0567ff9
-1,what does acetylcholine do to your body,2ae445856d08e6d542950c2f0c5884c6
0,cost of attending university of alabama,369fc950fc621f50a815cdd285b13d5b
0,cost of attending university of alabama,732bc618167e9d1f180c3e2d7d44652c
-1,what is fructose malabsorption symptoms,0593f27535602b3aeea4c9cfdc565ef5
-1,what is the peloton,541195f3f874a263571bf67ff4474426
-1,in your opinion living on a farm or in city yahoo answer,daf8c0f02c04014b01e5fb7aa70bc207
10,what does mrna do?,84c496a7ab8b03329cf3ae3823611da6
-1,if a potato gets cold does it lose starch,ee80668b56432a5cf49115e8717e884c
-1,what is pecorino,0de640644ca702c60056ddc5e90fed8b
0,how much do freelance editors make,26e71185f3156e7a2b9af1bea7176e8c
-1,uses of tea or coffee or alcohol,841d76a4df4343c2bb8936ea27dab3e8
-1,uses of tea or coffee or alcohol,5b2dd7b9c091e0c283c987b1875d5677
12,what is a terrestrial biome,9b5173c904f2b1021ec60e766094d500
12,what is a terrestrial biome,8fc061d94865101f98d6ebeb86c9f0aa
7,what are the function and metabolism of macronutrients,f04afc48b61238ca3d84fe8b12801cc4
2,what is budesonide inhalation suspension,87929d7b2be01ce0a7ad50cc5bee9a41
-1,what are the differences between photosynthesis and respiration,420afd5c1c746e486bd4110b6aaa1f87
-1,what are the differences between photosynthesis and respiration,1f4c79b6a2eaae418263245e5061df0a
7,foods that are good for pancreatitis,d6495d4c1eaf341e11a80bdd2273f50e
7,foods that are good for pancreatitis,4089914a76822591913bbc5b20b89a8e
2,what is the purpose of connective tissue,803caec315948805b724f0af10b606a3
0,highest interest rates in usa,31cb36e3b2b92424ff5acc979987986a
3,is psoriasis dangerous,f2ee658390db077d7a9f8c68fe45c42f
1,what is normal prolactin level in males,f8bde5f9aab9a5afe4c2f6bee6b1e704
7,what are vitamins and minerals good for,173307b40ea83ae94954eecf74960c21
-1,john locke is typically considered to be the founder of what philosophical movement,9d1422ae583af55f55d718884c05dce6
-1,definition of regeneration geography,ede7e68c14c6c41da9cfbf6b6e50ba3e
-1,what is myer,849d958d5ea886fa6cb24e26657536bc
0,how much is lipscomb tuition,e0fb580c46710f386e0c007118ef75c3
-1,how long can a diamondback terrapin hold its breath,c1b8d843cfe78f487ad72413d9d42a24
3,which tick has lyme disease,76301692371ea2ad23d262c83c0a35a9
18,what sir francis bacon was known for,2fb9237478d1ef5b0a161f6b8072b00c
18,who was alfred von schlieffen,31be319e2a0019c17e4405a9e4b42a0c
-1,what is dna testing used for,2247620f34aa1cd0f1c7f1113888203e
-1,how to fix tv that goes off in a few minutes after turned on,66b72434435caddb8de36976a3ca4da5
5,what does the name paige mean,f55c9a6dfc6d7fae604d666ea6a9dd92
0,salary range for registered dietitian by state,45cd2e87ee62968ea75876743a5fc7d3
0,salary range for registered dietitian by state,7852840131a8e24ed45ed9997e086047
4,where in the world can rattlesnakes be found,c80a57700b72a7c96c7bed1c036cac91
-1,how many people fit in a crew cab truck,8cfcd78aeedb12fdc10d36d6519b979b
-1,what is maximum term for relevant life policy,40afae0f8f79b22bc727119f3fccfcc0
8,how fast does a kiln cool down,1378dd53dfb04a1fc05e482671fffb15
12,is spanish moss a plant,d21c4495bed314cc30322aba34836354
12,is spanish moss a plant,e762a4a75ace571b276202331ef4b23d
-1,what time is the A-Day game,3dedd4792b7d5a011ac0a6eed6153f3a
14,what are huckleberry,dc82466ed39cb24556cf767825125615
0,how much cost the lawyer for citizenship,17d31cc23df3603626cd0c0f36238c23
6,what is cyber spoofing,4203d753c9c0975ffc1d5f7f0459ef90
0,how much does an apartment cost per month,fef8ff5bf42ef7911e2db8b90165408b
0,average cost of pressure washing by professional,57966b2336e29efe192ad03f2b6bd01b
11,how to cook steak in oven,5abf7cbbf4eff906894ae907c3d5566d
2,describe the function of the tongue,1cdfd363fb9890af38bf045b14644965
-1,definition of recessive trait,4cb26b4869a932eefa5ae8778836355d
15,what does concursus mean,6d47626b484c169adec1ef4356a26122
5,cecilia what does the name mean,1189d47d4ffb2f537d732a02805f4e91
-1,how does a breathalyzer test work,beb7979c2153aebd42f2437056411b0a
0,how much does it cost to file for bankruptcy,bee3987b81a09f3d94bffab102bd5f8b
16,what is carburetor for,0a5aef9300467ef5ee5d08fe69fe7a93
-1,best cleaning solution to get rid of cigarette smell,890a7e134384b7b465215a8a151e0496
-1,best cleaning solution to get rid of cigarette smell,708e3fabfe2a995e11219c3c09d670d1
-1,best cleaning solution to get rid of cigarette smell,49859b3e0720f2ba8077d990696729f8
-1,best cleaning solution to get rid of cigarette smell,29cf3d224e2b05b9d3f12b5f8fe403e2
-1,how does merry maids work,d317442b36755df1bacdbf90b09f5a02
-1,how long can the average person hold their breath,1b5caffaf9a6e80e6790b19f8acfb46c
-1,what makes a gas dissolve faster,6fa64a14fa962029fa5c20aee2341116
5,the biblical meaning of the name simon,63069ae7e362b0e8d5514f9a6214523a
0,does conserving water save your money,dcc7a6668b6a92702783545309639399
-1,what does deluge mean,6633a90acc6f4386ac5793d2d18aaa96
13,how to use iserror,34cc578bcb798ac1c9da52bcab34b708
7,do gallbladder problems cause loose stools,5384eb45cb17649b1d7514a8762cf939
10,what are the specialized cells of the epidermis called that produce the dark pigment that provides skin color,cb34ef01b4ab9321eb80ce247a62273a
1,What is laser light and How is it different from white light,886dccc2d7b3e3fb3109df413e4e69bd
1,What is laser light and How is it different from white light,fea9a1cf539e6efafef083f3459e326e
1,what is the amount of sodium recommended per day,b0cb86323737ac7cfa752982f00311c4
-1,uses for potassium salts,f9258455b93133000dd84df8352e9c21
7,different types of vitamin c,23f0b679cf09285dfffa3eb45743fcf6
0,how do you add decimals and fractions,64dcf769a5828d44a808190f5cc1ab8b
4,where is tib fib,8807ed77ae6e5ab6f21cbd4cf4a5e7ae
12,are photosynthetic protists related to plants?,e0dc8459d4c7c1bfec194601df6d7525
0,how much does it cost to insure an engagement ring,2a606eabd5e44f2a7cc03d4100c85478
0,how much does it cost to insure an engagement ring,6908be80872f6604680f109ee54a898a
4,proper height for a computer desk,28107fb02c651fc21f099e83b968b3f3
7,is fenugreek milk plus for breastfeeding good for diabetes mom,79817dcbd38dcd202a17f188d0308358
2,what tissues are lungs made of,cf9938af1f2941c91cf7143b1028a3a7
19,how long should a roof last,c9391f9deea0c6ff36e0c3fdb451c6d9
2,collagen definition anatomy,3858bd7fe2f10c80e99cf4d63d7e4c6b
0,average rate for apartment move out cleaning,5ae71ac2204500bb813d721185e8db9a
0,how long does it take to get a master degree in teaching in college,5ca88b50e9e73bc9f90e5e4bd830c546
5,what is romansh language,1c398f37fa28f023ac25f933d84b05a6
6,by what process are the majority carriers produced,7d047b717254a33cfc47cd652f8d43f3
-1,what does a blue whales tongue weigh,51504fd573b9214e375ceb83fd96c566
-1,what does a blue whales tongue weigh,c233fc2aac280f6c48feeb03f36ce355
1,what color is normal cat urine,dff2c22a5975a37cb0ee45b6eaccddea
1,what color is normal cat urine,77a139daf47b67b6a1427a54da6a594f
-1,is radioactive waste dangerous,05ab360699258a41c595475267b9fa51
9,where are precambrian rocks found,9f895334fbd8b33ed53bc36c4d36bd62
